Date,state,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,dateChecked,death,hospitalized,totalTestResults,posNeg,deathIncrease,hospitalizedIncrease,negativeIncrease,positiveIncrease,totalTestResultsIncrease
2020-03-07,MD,3,41,0,0,0,0,0,0,0,0,2020-03-07T21:00:00Z,0,0,44,44,0,0,15,0,15
2020-03-07,ME,0,1,0,0,0,0,0,0,0,0,2020-03-07T21:00:00Z,0,0,1,1,0,0,0,0,0
2020-03-07,MI,128,18,9,0,0,0,0,0,0,0,2020-03-07T21:00:00Z,0,0,146,146,0,0,10,30,40
2020-03-07,MN,1,48,0,0,0,0,0,0,0,0,2020-03-07T21:00:00Z,0,0,49,49,0,0,12,1,13
2020-03-07,MO,0,0,0,0,0,0,0,0,0,0,2020-03-07T21:00:00Z,0,0,0,0,0,0,0,0,0
2020-03-07,MS,0,0,0,0,0,0,0,0,0,0,2020-03-07T21:00:00Z,0,0,0,0,0,0,0,0,0
2020-03-07,MT,0,11,0,0,0,0,0,0,0,0,2020-03-07T21:00:00Z,0,0,11,11,0,0,0,0,0
2020-03-07,NC,2,0,0,0,0,0,0,0,0,0,2020-03-07T21:00:00Z,0,0,2,2,0,0,0,0,0
2020-03-07,ND,0,0,0,0,0,0,0,0,0,0,2020-03-07T21:00:00Z,0,0,0,0,0,0,0,0,0
2020-03-07,NE,1,17,5,0,0,0,0,0,0,0,2020-03-07T21:00:00Z,0,0,18,18,0,0,0,1,1
2020-03-07,NH,2,20,3,0,0,0,0,0,0,0,2020-03-07T21:00:00Z,0,0,22,22,0,0,0,0,0
2020-03-07,NJ,4,0,1,0,0,0,0,0,0,0,2020-03-07T21:00:00Z,0,0,4,4,0,0,0,3,3
2020-03-07,NM,0,48,0,0,0,0,0,0,0,0,2020-03-07T21:00:00Z,0,0,48,48,0,0,32,0,32
2020-03-07,NV,1,14,0,0,0,0,0,0,0,0,2020-03-07T21:00:00Z,0,0,15,15,0,0,0,0,0
2020-03-07,NY,76,92,236,0,0,0,0,0,0,0,2020-03-07T21:00:00Z,0,0,168,168,0,0,0,43,43
2020-03-07,OH,0,9,5,0,0,0,0,0,0,0,2020-03-07T21:00:00Z,0,0,9,9,0,0,1,0,1
2020-03-07,OK,1,0,0,0,0,0,0,0,0,0,2020-03-07T21:00:00Z,0,0,1,1,0,0,0,0,0
2020-03-07,OR,7,77,40,0,0,0,0,0,0,0,2020-03-07T21:00:00Z,0,0,84,84,0,0,13,4,17
2020-03-07,PA,4,0,0,0,0,0,0,0,0,0,2020-03-07T21:00:00Z,0,0,4,4,0,0,0,2,2
2020-03-07,RI,2,30,0,0,0,0,0,0,0,0,2020-03-07T21:00:00Z,0,0,32,32,0,0,13,-1,12
2020-03-07,SC,2,8,0,0,0,0,0,0,0,0,2020-03-07T21:00:00Z,0,0,10,10,0,0,3,2,5
